,,,,,,,,,,,,,,,,,
all,Isombe,Bananas with Split Green Peas,Kachumbari,Cassava Porridge (Ubugali),Peanut Nougat,Rwandan Beef Stew,Hard-boiled eggs with Akabanga,Goat Brochettes,Mandazi (African Donuts),Rwandan Chicken,Matoke,Vegan agatogo,Ginger Tea,Rwandan Beef,Potato stew with pintos,Rēwena Bread,Rwandan Sweet Potato Fries (Chips)
breakfast,Mandazi (African Donuts),Bananas with Split Green Peas,Rēwena Bread,,,,,,,,,,,,,,
lunch,Matoke,Hard-boiled eggs with Akabanga,Cassava Porridge (Ubugali),Vegan agatogo,Potato stew with pintos,,,,,,,,,,,,
dinner,Isombe,Rwandan Beef Stew,Goat Brochettes,Rwandan Chicken,Rwandan Beef,,,,,,,,,,,,
snack,Peanut Nougat,Kachumbari,Ginger Tea,Rwandan Sweet Potato Fries (Chips),,,,,,,,,,,,,
